Date,Open,High,Low,Close,Adj Close,Volume
1/1/2021,133.520004,145.089996,126.379997,131.960007,131.151489,2240262000
2/1/2021,133.75,137.880005,118.389999,121.260002,120.517044,1833855600
3/1/2021,123.75,128.720001,116.209999,122.150002,121.582993,2650418200
4/1/2021,123.660004,137.070007,122.489998,131.460007,130.849777,1889857500
5/1/2021,132.039993,134.070007,122.25,124.610001,124.031578,1711934900
6/1/2021,125.080002,137.410004,123.129997,136.960007,136.555817,1606590000
7/1/2021,136.600006,150,135.759995,145.860001,145.429535,1918976500
8/1/2021,146.360001,153.490005,144.5,151.830002,151.381927,1460744100
9/1/2021,152.830002,157.259995,141.270004,141.5,141.293793,1797465800
10/1/2021,141.899994,153.169998,138.270004,149.800003,149.581696,1564866800
11/1/2021,148.990005,165.699997,147.479996,165.300003,165.059113,1690808300
12/1/2021,167.479996,182.130005,157.800003,177.570007,177.570007,2444341400
