Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,49.889999,63.950001,49.330002,55.509998,54.107021,962555600
2021-02-01,55.950001,63.540001,55.709999,60.779999,59.243828,511339300
2021-03-01,61.720001,67.440002,57.910000,64.000000,62.761101,770803800
2021-04-01,64.720001,68.489998,57.070000,57.529999,56.416344,654934800
2021-05-01,57.860001,58.009998,53.419998,57.119999,56.014282,495384200
2021-06-01,57.610001,58.419998,55.099998,56.139999,55.392330,511873100
2021-07-01,56.130001,57.459999,52.310001,53.720001,53.004562,516948000
2021-08-01,53.990002,54.869999,51.419998,54.060001,53.340031,402355400
2021-09-01,54.110001,55.490002,52.320000,53.279999,52.912041,413314100
2021-10-01,53.650002,56.070000,47.869999,49.000000,48.661598,671984900
2021-11-01,49.400002,51.990002,48.119999,49.200001,48.860218,617041400
2021-12-01,49.840000,55.000000,48.330002,51.500000,51.500000,714622300
